equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal,Ticker
rrg_equity_concave,,,0.0,rrg,,rrg,STLAM.MI
rrg_equity_convex,,,0.0,rrg,,rrg,STLAM.MI
rtt_5020_equity_convex,15287.863999999969,52.87863999999966,-79.77858046142978,rtt_5020,,rtt_5020,TEN.MI
rtt_5020_equity_concave,10992.819999999989,9.928199999999896,-104.29571207767064,rtt_5020,,rtt_5020,TEN.MI
rbo_20_equity_equal,10641.02959999999,6.410295999999915,-6.818931453794027,rbo_20,,rbo_20,TEN.MI
rtt_5020_equity_equal,10520.543599999986,5.205435999999852,-5.840902285827133,rtt_5020,,rtt_5020,TEN.MI
rbo_50_equity_equal,10409.326799999995,4.093267999999961,-5.814269882578566,rbo_50,,rbo_50,TEN.MI
rema_50100150_equity_equal,10241.229899999997,2.4122989999999733,-3.632730338118279,rema_50100150,,rema_50100150,TEN.MI
rbo_100_equity_equal,10195.565000000008,1.9556500000000865,-2.460356007271257,rbo_100,,rbo_100,TEN.MI
rsma_50100150_equity_equal,10179.465000000007,1.7946500000000754,-3.43570902784326,rsma_50100150,,rsma_50100150,TEN.MI
rrg_equity_equal,10036.7865,0.3678650000000116,-0.3665167132926475,rrg,,rrg,TEN.MI
rbo_20__rbo_20_equity_equal,10000.0,0.0,0.0,rbo_20__rbo_20,0.0,rbo_20__rbo_20,TEN.MI
rbo_20__rbo_100_equity_concave,10000.0,0.0,0.0,rbo_20__rbo_100,0.0,rbo_20__rbo_100,TEN.MI
rbo_20__rbo_100_equity_convex,10000.0,0.0,0.0,rbo_20__rbo_100,0.0,rbo_20__rbo_100,TEN.MI
rbo_20__rtt_5020_equity_equal,10000.0,0.0,0.0,rbo_20__rtt_5020,0.0,rbo_20__rtt_5020,TEN.MI
rbo_20__rtt_5020_equity_constant,10000.0,0.0,0.0,rbo_20__rtt_5020,0.0,rbo_20__rtt_5020,TEN.MI
rbo_20__rtt_5020_equity_concave,10000.0,0.0,0.0,rbo_20__rtt_5020,0.0,rbo_20__rtt_5020,TEN.MI
rbo_20__rtt_5020_equity_convex,10000.0,0.0,0.0,rbo_20__rtt_5020,0.0,rbo_20__rtt_5020,TEN.MI
rbo_20__rsma_50100150_equity_equal,10000.0,0.0,0.0,rbo_20__rsma_50100150,0.0,rbo_20__rsma_50100150,TEN.MI
rbo_20__rbo_20_equity_constant,10000.0,0.0,0.0,rbo_20__rbo_20,0.0,rbo_20__rbo_20,TEN.MI
rbo_20__rbo_20_equity_concave,10000.0,0.0,0.0,rbo_20__rbo_20,0.0,rbo_20__rbo_20,TEN.MI
rbo_20__rbo_20_equity_convex,10000.0,0.0,0.0,rbo_20__rbo_20,0.0,rbo_20__rbo_20,TEN.MI
rbo_20__rbo_50_equity_equal,10000.0,0.0,0.0,rbo_20__rbo_50,0.0,rbo_20__rbo_50,TEN.MI
rbo_20__rbo_50_equity_constant,10000.0,0.0,0.0,rbo_20__rbo_50,0.0,rbo_20__rbo_50,TEN.MI
rbo_20__rbo_50_equity_concave,10000.0,0.0,0.0,rbo_20__rbo_50,0.0,rbo_20__rbo_50,TEN.MI
rbo_20__rbo_50_equity_convex,10000.0,0.0,0.0,rbo_20__rbo_50,0.0,rbo_20__rbo_50,TEN.MI
rbo_20__rbo_100_equity_equal,10000.0,0.0,0.0,rbo_20__rbo_100,0.0,rbo_20__rbo_100,TEN.MI
rbo_20__rbo_100_equity_constant,10000.0,0.0,0.0,rbo_20__rbo_100,0.0,rbo_20__rbo_100,TEN.MI
rbo_50__rbo_20_equity_constant,10000.0,0.0,0.0,rbo_50__rbo_20,0.0,rbo_50__rbo_20,TEN.MI
rbo_50__rbo_20_equity_equal,10000.0,0.0,0.0,rbo_50__rbo_20,0.0,rbo_50__rbo_20,TEN.MI
rbo_20__rema_50100150_equity_convex,10000.0,0.0,0.0,rbo_20__rema_50100150,0.0,rbo_20__rema_50100150,TEN.MI
rbo_20__rema_50100150_equity_concave,10000.0,0.0,0.0,rbo_20__rema_50100150,0.0,rbo_20__rema_50100150,TEN.MI
rbo_20__rema_50100150_equity_constant,10000.0,0.0,0.0,rbo_20__rema_50100150,0.0,rbo_20__rema_50100150,TEN.MI
rbo_20__rema_50100150_equity_equal,10000.0,0.0,0.0,rbo_20__rema_50100150,0.0,rbo_20__rema_50100150,TEN.MI
rbo_20__rsma_50100150_equity_convex,10000.0,0.0,0.0,rbo_20__rsma_50100150,0.0,rbo_20__rsma_50100150,TEN.MI
rbo_20__rsma_50100150_equity_concave,10000.0,0.0,0.0,rbo_20__rsma_50100150,0.0,rbo_20__rsma_50100150,TEN.MI
rbo_20__rsma_50100150_equity_constant,10000.0,0.0,0.0,rbo_20__rsma_50100150,0.0,rbo_20__rsma_50100150,TEN.MI
rbo_50__rbo_20_equity_concave,10000.0,0.0,0.0,rbo_50__rbo_20,0.0,rbo_50__rbo_20,TEN.MI
rbo_50__rbo_50_equity_equal,10000.0,0.0,0.0,rbo_50__rbo_50,0.0,rbo_50__rbo_50,TEN.MI
rbo_50__rbo_20_equity_convex,10000.0,0.0,0.0,rbo_50__rbo_20,0.0,rbo_50__rbo_20,TEN.MI
rbo_50__rbo_50_equity_concave,10000.0,0.0,0.0,rbo_50__rbo_50,0.0,rbo_50__rbo_50,TEN.MI
rbo_50__rbo_50_equity_convex,10000.0,0.0,0.0,rbo_50__rbo_50,0.0,rbo_50__rbo_50,TEN.MI
rbo_50__rbo_100_equity_equal,10000.0,0.0,0.0,rbo_50__rbo_100,0.0,rbo_50__rbo_100,TEN.MI
rbo_50__rbo_50_equity_constant,10000.0,0.0,0.0,rbo_50__rbo_50,0.0,rbo_50__rbo_50,TEN.MI
rbo_50__rsma_50100150_equity_concave,10000.0,0.0,0.0,rbo_50__rsma_50100150,0.0,rbo_50__rsma_50100150,TEN.MI
rbo_50__rsma_50100150_equity_convex,10000.0,0.0,0.0,rbo_50__rsma_50100150,0.0,rbo_50__rsma_50100150,TEN.MI
rbo_50__rema_50100150_equity_equal,10000.0,0.0,0.0,rbo_50__rema_50100150,0.0,rbo_50__rema_50100150,TEN.MI
rbo_50__rema_50100150_equity_constant,10000.0,0.0,0.0,rbo_50__rema_50100150,0.0,rbo_50__rema_50100150,TEN.MI
rbo_50__rema_50100150_equity_concave,10000.0,0.0,0.0,rbo_50__rema_50100150,0.0,rbo_50__rema_50100150,TEN.MI
rbo_50__rema_50100150_equity_convex,10000.0,0.0,0.0,rbo_50__rema_50100150,0.0,rbo_50__rema_50100150,TEN.MI
rbo_100__rbo_20_equity_equal,10000.0,0.0,0.0,rbo_100__rbo_20,0.0,rbo_100__rbo_20,TEN.MI
rbo_50__rbo_100_equity_constant,10000.0,0.0,0.0,rbo_50__rbo_100,0.0,rbo_50__rbo_100,TEN.MI
rbo_50__rbo_100_equity_concave,10000.0,0.0,0.0,rbo_50__rbo_100,0.0,rbo_50__rbo_100,TEN.MI
rbo_50__rbo_100_equity_convex,10000.0,0.0,0.0,rbo_50__rbo_100,0.0,rbo_50__rbo_100,TEN.MI
rbo_50__rtt_5020_equity_equal,10000.0,0.0,0.0,rbo_50__rtt_5020,0.0,rbo_50__rtt_5020,TEN.MI
rbo_50__rtt_5020_equity_constant,10000.0,0.0,0.0,rbo_50__rtt_5020,0.0,rbo_50__rtt_5020,TEN.MI
rbo_50__rtt_5020_equity_concave,10000.0,0.0,0.0,rbo_50__rtt_5020,0.0,rbo_50__rtt_5020,TEN.MI
rbo_50__rtt_5020_equity_convex,10000.0,0.0,0.0,rbo_50__rtt_5020,0.0,rbo_50__rtt_5020,TEN.MI
rbo_50__rsma_50100150_equity_equal,10000.0,0.0,0.0,rbo_50__rsma_50100150,0.0,rbo_50__rsma_50100150,TEN.MI
rbo_50__rsma_50100150_equity_constant,10000.0,0.0,0.0,rbo_50__rsma_50100150,0.0,rbo_50__rsma_50100150,TEN.MI
rbo_100__rbo_100_equity_concave,10000.0,0.0,0.0,rbo_100__rbo_100,0.0,rbo_100__rbo_100,TEN.MI
rbo_100__rbo_100_equity_convex,10000.0,0.0,0.0,rbo_100__rbo_100,0.0,rbo_100__rbo_100,TEN.MI
rbo_100__rtt_5020_equity_equal,10000.0,0.0,0.0,rbo_100__rtt_5020,0.0,rbo_100__rtt_5020,TEN.MI
rbo_100__rtt_5020_equity_constant,10000.0,0.0,0.0,rbo_100__rtt_5020,0.0,rbo_100__rtt_5020,TEN.MI
rbo_100__rtt_5020_equity_concave,10000.0,0.0,0.0,rbo_100__rtt_5020,0.0,rbo_100__rtt_5020,TEN.MI
rbo_100__rtt_5020_equity_convex,10000.0,0.0,0.0,rbo_100__rtt_5020,0.0,rbo_100__rtt_5020,TEN.MI
rbo_100__rsma_50100150_equity_equal,10000.0,0.0,0.0,rbo_100__rsma_50100150,0.0,rbo_100__rsma_50100150,TEN.MI
rbo_100__rsma_50100150_equity_constant,10000.0,0.0,0.0,rbo_100__rsma_50100150,0.0,rbo_100__rsma_50100150,TEN.MI
rbo_100__rsma_50100150_equity_concave,10000.0,0.0,0.0,rbo_100__rsma_50100150,0.0,rbo_100__rsma_50100150,TEN.MI
rbo_100__rsma_50100150_equity_convex,10000.0,0.0,0.0,rbo_100__rsma_50100150,0.0,rbo_100__rsma_50100150,TEN.MI
rbo_100__rema_50100150_equity_equal,10000.0,0.0,0.0,rbo_100__rema_50100150,0.0,rbo_100__rema_50100150,TEN.MI
rbo_100__rema_50100150_equity_constant,10000.0,0.0,0.0,rbo_100__rema_50100150,0.0,rbo_100__rema_50100150,TEN.MI
rbo_100__rema_50100150_equity_concave,10000.0,0.0,0.0,rbo_100__rema_50100150,0.0,rbo_100__rema_50100150,TEN.MI
rbo_100__rema_50100150_equity_convex,10000.0,0.0,0.0,rbo_100__rema_50100150,0.0,rbo_100__rema_50100150,TEN.MI
rtt_5020__rbo_20_equity_equal,10000.0,0.0,0.0,rtt_5020__rbo_20,0.0,rtt_5020__rbo_20,TEN.MI
rtt_5020__rbo_20_equity_constant,10000.0,0.0,0.0,rtt_5020__rbo_20,0.0,rtt_5020__rbo_20,TEN.MI
