equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal,Ticker
rtt_5020__rema_50100150_equity_convex,9521.380899999996,-4.78619100000004,-71.921170124395,rtt_5020__rema_50100150,17.0,rtt_5020__rema_50100150,SBUX
rbo_50__rbo_50_equity_constant,9431.038000000006,-5.689619999999939,-42.1600775544234,rbo_50__rbo_50,4.0,rbo_50__rbo_50,SBUX
rbo_50__rtt_5020_equity_constant,9431.038000000006,-5.689619999999939,-42.1600775544234,rbo_50__rtt_5020,4.0,rbo_50__rtt_5020,SBUX
rbo_20__rema_50100150_equity_constant,9346.888599999982,-6.531114000000182,-32.31196207878815,rbo_20__rema_50100150,17.0,rbo_20__rema_50100150,SBUX
rbo_50__rbo_100_equity_constant,9233.306100000009,-7.666938999999928,-41.72550840554776,rbo_50__rbo_100,25.0,rbo_50__rbo_100,SBUX
rbo_50__rema_50100150_equity_concave,9141.636200000052,-8.583637999999482,-89.41844687736503,rbo_50__rema_50100150,24.0,rbo_50__rema_50100150,SBUX
rbo_20__rbo_20_equity_concave,8941.87940000002,-10.5812059999998,-62.064972979773,rbo_20__rbo_20,8.0,rbo_20__rbo_20,SBUX
rbo_20__rbo_20_equity_convex,8845.160300000009,-11.54839699999991,-62.50873713257407,rbo_20__rbo_20,8.0,rbo_20__rbo_20,SBUX
rtt_5020__rema_50100150_equity_concave,8755.988199999994,-12.440118000000057,-74.17008793278875,rtt_5020__rema_50100150,17.0,rtt_5020__rema_50100150,SBUX
rbo_50__rbo_20_equity_constant,8694.015900000004,-13.05984099999996,-33.542811601401304,rbo_50__rbo_20,35.0,rbo_50__rbo_20,SBUX
rtt_5020__rsma_50100150_equity_constant,8646.098699999991,-13.53901300000009,-28.246981547602086,rtt_5020__rsma_50100150,34.0,rtt_5020__rsma_50100150,SBUX
rbo_20__rbo_50_equity_constant,8561.953800000003,-14.380461999999971,-31.53745414122517,rbo_20__rbo_50,34.0,rbo_20__rbo_50,SBUX
